Title,India employment rate NSA nationality
CDID,LFO8
Source dataset ID,LMS
PreUnit,
Unit,
Release date,14-02-2023
Next release,14-Mar-23
Important notes,
1997,63.1
1998,59.2
1999,55.4
2000,62.9
2001,59.7
2002,62.1
2003,63.4
2004,65.4
2005,69.1
2006,71.2
2007,69.8
2008,71.8
2009,66.1
2010,68.5
2011,70.6
2012,69.7
2013,72.7
2014,71
2015,68.8
2016,67.8
2017,66.2
2018,73.5
2019,71.9
2020,
2021,
1997 Q1,60.8
1997 Q2,62.3
1997 Q3,63.9
1997 Q4,65.5
1998 Q1,65.4
1998 Q2,59.2
1998 Q3,56.9
1998 Q4,55.2
1999 Q1,53.3
1999 Q2,54.5
1999 Q3,54.6
1999 Q4,59.3
2000 Q1,58.6
2000 Q2,60.4
2000 Q3,66.9
2000 Q4,65.7
2001 Q1,64.5
2001 Q2,58.7
2001 Q3,57.4
2001 Q4,58.2
2002 Q1,58.2
2002 Q2,60.7
2002 Q3,63
2002 Q4,66.6
2003 Q1,62.8
2003 Q2,63.1
2003 Q3,60.8
2003 Q4,67.1
2004 Q1,63.2
2004 Q2,66.7
2004 Q3,67.9
2004 Q4,63.8
2005 Q1,66.9
2005 Q2,66.7
2005 Q3,69
2005 Q4,73.8
2006 Q1,70.1
2006 Q2,74.6
2006 Q3,69.9
2006 Q4,70.3
2007 Q1,69.4
2007 Q2,72
2007 Q3,69.1
2007 Q4,68.8
2008 Q1,70.3
2008 Q2,72.4
2008 Q3,71.5
2008 Q4,73.1
2009 Q1,69.9
2009 Q2,64.5
2009 Q3,66.8
2009 Q4,63.1
2010 Q1,64.7
2010 Q2,69.5
2010 Q3,71.3
2010 Q4,68.6
2011 Q1,70.8
2011 Q2,71.2
2011 Q3,71.5
2011 Q4,68.9
2012 Q1,69.1
2012 Q2,69.6
2012 Q3,68.1
2012 Q4,72.1
2013 Q1,74.5
2013 Q2,72.4
2013 Q3,72.5
2013 Q4,71.4
2014 Q1,72.1
2014 Q2,69.7
2014 Q3,72.2
2014 Q4,69.9
2015 Q1,69.1
2015 Q2,69.7
2015 Q3,69.4
2015 Q4,67.2
2016 Q1,70.1
2016 Q2,68.3
2016 Q3,70.1
2016 Q4,62.9
2017 Q1,65
2017 Q2,65.2
2017 Q3,67.5
2017 Q4,67.3
2018 Q1,72.9
2018 Q2,79.3
2018 Q3,72.2
2018 Q4,69.7
2019 Q1,70.6
2019 Q2,69.3
2019 Q3,73.1
2019 Q4,74.6
2020 Q1,
2020 Q2,
2020 Q3,
2020 Q4,
2021 Q1,
2021 Q2,
2021 Q3,
2021 Q4,
2022 Q1,
